product_id,category,brand,list_price,unit_cost,is_subscription,is_active
P10000,Grocery,Citrine,35.45,16.72,0,1
P10001,Home,Orion,74.17,49.96,0,1
P10002,Fitness,Meridian,39.16,17.12,0,1
P10003,Apparel,Aster,11.98,7.23,0,1
P10004,Beauty,Orion,15.19,6.94,0,1
P10005,Beauty,Lumen,10.06,5.18,0,1
P10006,Fitness,Aster,48.82,28.75,0,1
P10007,Beauty,Vertex,27.64,14.27,0,1
P10008,Apparel,Nova,57.83,36.33,0,1
P10009,Electronics,Aster,18.93,7.99,0,1
P10010,Apparel,Kairo,18.23,11.85,0,1
P10011,Home,Aster,19.23,8.38,0,1
P10012,Home,Vertex,42.21,14.95,0,1
P10013,Apparel,Vertex,16.01,7.84,0,1
P10014,Grocery,Citrine,68.49,44.39,1,1
P10015,Beauty,Solace,27.09,18.59,0,1
P10016,Grocery,Aster,15.74,7.69,0,1
P10017,Fitness,Kairo,9.79,6.83,0,1
P10018,Fitness,Aster,17.3,8.48,0,1
P10019,Grocery,Vertex,23.11,15.52,0,1
P10020,Apparel,Citrine,15.32,6.37,0,1
P10021,Apparel,Meridian,27.83,17.46,0,1
P10022,Apparel,Vertex,24.36,9.35,0,1
P10023,Electronics,Aster,14.24,9.39,0,1
P10024,Apparel,Nova,50.52,32.67,0,1
P10025,Electronics,Meridian,25.26,11.68,0,1
P10026,Apparel,Orion,36.59,25.41,0,1
P10027,Home,Vertex,25.94,16.69,0,1
P10028,Beauty,Lumen,14.13,8.18,0,1
P10029,Beauty,Citrine,20.14,12.94,0,1
P10030,Beauty,Citrine,30.33,13.31,0,1
P10031,Home,Citrine,11.71,5.73,0,1
P10032,Electronics,Nova,28.49,15.6,0,1
P10033,Fitness,Vertex,10.19,6.85,0,1
P10034,Apparel,Solace,18.93,9.26,0,1
P10035,Accessories,Kairo,14.18,8.12,0,1
P10036,Beauty,Solace,11.09,6.39,0,1
P10037,Apparel,Orion,8.62,3.62,0,1
P10038,Apparel,Aster,18.36,10.3,0,1
P10039,Apparel,Kairo,12.34,6.47,0,1
P10040,Grocery,Lumen,20.65,12.7,0,1
P10041,Home,Aster,36.05,15.01,0,1
P10042,Electronics,Citrine,13.9,8.03,0,1
P10043,Electronics,Solace,25.55,10.29,0,1
P10044,Apparel,Citrine,47.24,20.85,0,1
P10045,Home,Aster,26.82,10.73,0,1
P10046,Grocery,Vertex,83.95,54.75,0,1
P10047,Grocery,Orion,19.69,13.56,0,1
P10048,Home,Kairo,19.69,9.29,0,1
P10049,Home,Aster,15.96,10.64,0,1
P10050,Apparel,Lumen,16.64,11.0,0,1
P10051,Home,Nova,9.9,4.12,0,1
P10052,Home,Kairo,36.03,19.88,0,1
P10053,Grocery,Solace,14.0,8.47,0,1
P10054,Accessories,Orion,19.69,12.08,0,1
P10055,Grocery,Citrine,36.13,15.27,0,1
P10056,Electronics,Orion,17.84,9.24,0,1
P10057,Beauty,Aster,5.3,2.88,0,1
P10058,Home,Orion,23.66,11.36,0,1
P10059,Apparel,Citrine,31.9,19.14,0,1
P10060,Fitness,Lumen,21.06,12.07,0,0
P10061,Electronics,Lumen,21.02,13.19,0,1
P10062,Home,Solace,17.43,8.33,0,1
P10063,Electronics,Citrine,16.11,7.65,0,1
P10064,Home,Kairo,21.21,8.35,0,1
P10065,Home,Kairo,25.54,13.56,0,1
P10066,Grocery,Kairo,31.97,16.7,0,1
P10067,Apparel,Vertex,21.23,9.06,0,1
P10068,Beauty,Solace,29.32,17.89,0,1
P10069,Apparel,Meridian,9.67,3.59,0,1
P10070,Home,Lumen,27.84,10.72,0,1
P10071,Apparel,Meridian,16.49,9.21,0,1
P10072,Fitness,Lumen,15.73,8.19,0,1
P10073,Accessories,Nova,27.92,15.36,0,1
P10074,Apparel,Aster,40.42,26.58,0,1
P10075,Beauty,Vertex,20.43,8.18,0,1
P10076,Apparel,Solace,17.16,6.77,0,1
P10077,Beauty,Citrine,13.77,8.62,0,1
P10078,Fitness,Vertex,42.25,23.75,0,1
P10079,Grocery,Meridian,22.95,8.23,0,1
P10080,Grocery,Nova,25.0,15.86,0,1
P10081,Beauty,Vertex,7.71,4.86,0,1
P10082,Electronics,Solace,13.85,9.46,0,1
P10083,Accessories,Orion,18.72,7.77,0,1
P10084,Beauty,Vertex,26.31,16.55,0,1
P10085,Home,Kairo,39.84,22.33,0,1
P10086,Beauty,Nova,34.5,19.67,0,1
P10087,Home,Nova,30.75,19.19,0,1
P10088,Electronics,Solace,20.45,7.51,0,1
P10089,Beauty,Nova,14.4,9.32,0,1
P10090,Electronics,Orion,29.7,20.45,0,1
P10091,Beauty,Vertex,17.76,11.78,0,1
P10092,Apparel,Solace,17.94,9.06,0,1
P10093,Accessories,Orion,8.84,4.12,0,1
P10094,Accessories,Aster,31.45,12.95,0,1
P10095,Apparel,Aster,16.68,5.97,0,1
P10096,Beauty,Nova,14.09,9.12,0,1
P10097,Beauty,Meridian,28.05,17.71,0,1
P10098,Accessories,Meridian,28.5,10.37,0,1
P10099,Beauty,Kairo,24.92,12.72,0,1
P10100,Apparel,Solace,22.59,10.11,0,1
P10101,Beauty,Orion,30.53,13.37,0,1
P10102,Accessories,Orion,11.91,7.39,0,1
P10103,Grocery,Lumen,51.16,22.77,0,1
P10104,Fitness,Kairo,32.75,19.68,0,0
P10105,Apparel,Solace,35.14,18.82,0,1
P10106,Accessories,Nova,47.59,21.81,0,1
P10107,Fitness,Orion,13.62,8.97,0,1
P10108,Apparel,Solace,28.87,15.19,0,1
P10109,Home,Citrine,31.68,18.47,0,1
P10110,Electronics,Solace,37.7,15.91,0,1
P10111,Beauty,Solace,33.71,18.44,0,1
P10112,Electronics,Meridian,9.37,4.74,0,1
P10113,Grocery,Meridian,4.99,3.06,0,1
P10114,Apparel,Lumen,31.33,20.16,0,1
P10115,Home,Lumen,10.53,5.82,0,1
P10116,Grocery,Orion,32.39,21.06,0,1
P10117,Home,Meridian,26.58,17.59,0,1
P10118,Home,Meridian,19.26,12.51,0,1
P10119,Electronics,Citrine,14.38,7.3,0,1
P10120,Accessories,Nova,11.67,7.97,0,1
P10121,Apparel,Vertex,36.12,16.21,0,1
P10122,Fitness,Orion,8.16,3.23,0,1
P10123,Home,Citrine,49.83,23.67,0,1
P10124,Fitness,Citrine,10.79,6.62,0,1
P10125,Beauty,Vertex,46.62,18.94,0,1
P10126,Electronics,Orion,29.59,11.84,0,1
P10127,Beauty,Orion,41.08,27.99,0,1
P10128,Accessories,Kairo,37.56,18.75,0,1
P10129,Beauty,Meridian,38.03,23.8,0,1
P10130,Electronics,Solace,15.35,10.23,0,1
P10131,Grocery,Solace,12.84,4.75,0,1
P10132,Grocery,Meridian,15.45,10.12,0,1
P10133,Apparel,Citrine,21.43,8.34,0,1
P10134,Home,Vertex,19.43,10.93,0,1
P10135,Apparel,Aster,13.89,7.44,0,1
P10136,Home,Lumen,10.08,3.59,0,1
P10137,Fitness,Solace,12.7,5.23,0,1
P10138,Home,Aster,21.2,10.23,0,1
P10139,Beauty,Aster,6.18,3.4,0,1
P10140,Accessories,Nova,21.97,15.33,0,1
P10141,Beauty,Vertex,22.07,8.36,0,1
P10142,Grocery,Lumen,37.74,26.17,0,1
P10143,Beauty,Meridian,32.46,14.24,0,1
P10144,Accessories,Solace,40.35,17.06,0,1
P10145,Grocery,Solace,43.64,19.85,0,1
P10146,Beauty,Orion,24.08,14.62,0,1
P10147,Accessories,Kairo,39.35,15.65,0,1
P10148,Accessories,Lumen,32.94,15.65,0,1
P10149,Beauty,Lumen,11.25,6.32,0,1
P10150,Grocery,Solace,35.08,15.3,0,1
P10151,Home,Citrine,32.55,21.48,0,1
P10152,Grocery,Orion,21.97,12.26,0,1
P10153,Accessories,Citrine,10.85,4.77,0,1
P10154,Beauty,Aster,8.26,5.16,0,1
P10155,Grocery,Meridian,6.92,3.1,0,1
P10156,Apparel,Orion,40.12,15.48,0,1
P10157,Home,Solace,9.4,4.79,0,0
P10158,Apparel,Vertex,9.36,4.23,0,1
P10159,Grocery,Vertex,5.7,3.32,1,1
P10160,Beauty,Solace,16.1,6.9,0,1
P10161,Grocery,Citrine,24.51,14.28,0,1
P10162,Apparel,Citrine,38.37,26.83,0,0
P10163,Beauty,Lumen,10.85,6.88,0,1
P10164,Apparel,Nova,15.8,6.4,0,1
P10165,Accessories,Kairo,8.69,4.06,0,1
P10166,Home,Meridian,16.56,11.3,0,1
P10167,Home,Nova,17.02,7.84,0,1
P10168,Apparel,Aster,22.23,15.3,0,1
P10169,Accessories,Meridian,19.25,8.02,0,1
P10170,Grocery,Citrine,12.04,5.3,0,1
P10171,Beauty,Vertex,19.56,8.72,0,1
P10172,Electronics,Solace,29.83,19.59,0,1
P10173,Home,Meridian,60.55,37.3,0,1
P10174,Beauty,Aster,26.26,16.33,0,1
P10175,Apparel,Orion,26.03,12.6,0,1
P10176,Home,Aster,24.38,15.9,0,1
P10177,Electronics,Orion,10.89,5.9,0,1
P10178,Beauty,Nova,8.65,3.3,0,1
P10179,Accessories,Kairo,94.48,58.39,0,1
P10180,Electronics,Nova,20.7,9.76,0,1
P10181,Beauty,Aster,9.23,5.36,0,0
P10182,Grocery,Meridian,21.67,14.77,0,1
P10183,Beauty,Meridian,37.94,14.82,0,1
P10184,Accessories,Nova,18.48,9.95,0,1
P10185,Apparel,Meridian,28.07,11.99,0,1
P10186,Electronics,Lumen,26.03,13.37,0,1
P10187,Apparel,Nova,16.43,8.39,0,1
P10188,Apparel,Citrine,18.74,12.01,0,1
P10189,Fitness,Aster,30.83,10.85,0,1
P10190,Accessories,Orion,12.46,8.61,0,1
P10191,Electronics,Orion,89.49,46.43,0,1
P10192,Electronics,Kairo,31.44,12.76,0,1
P10193,Home,Lumen,4.99,2.2,0,1
P10194,Home,Kairo,12.98,8.87,0,1
P10195,Home,Orion,12.75,8.16,0,1
P10196,Beauty,Nova,63.94,24.67,0,1
P10197,Apparel,Solace,51.01,29.07,0,1
P10198,Home,Orion,5.52,3.47,0,1
P10199,Beauty,Aster,20.99,10.95,0,1
P10200,Fitness,Meridian,30.74,11.27,0,1
P10201,Fitness,Citrine,57.85,38.17,0,1
P10202,Beauty,Meridian,18.28,6.89,0,1
P10203,Apparel,Meridian,21.44,14.06,0,1
P10204,Grocery,Nova,11.69,8.1,0,1
P10205,Accessories,Nova,23.02,15.09,0,1
P10206,Grocery,Nova,17.37,9.8,0,1
P10207,Grocery,Orion,20.04,12.91,0,1
P10208,Beauty,Aster,25.39,11.75,0,1
P10209,Beauty,Lumen,28.68,10.31,0,1
P10210,Electronics,Lumen,26.49,15.3,0,1
P10211,Fitness,Citrine,36.36,19.92,0,1
P10212,Beauty,Vertex,19.44,11.26,0,1
P10213,Apparel,Citrine,17.97,12.57,0,1
P10214,Accessories,Nova,12.7,4.67,0,1
P10215,Grocery,Orion,36.61,19.1,0,1
P10216,Home,Nova,21.08,9.65,0,1
P10217,Home,Orion,12.64,5.24,0,1
P10218,Apparel,Orion,16.56,7.94,0,1
P10219,Apparel,Kairo,15.59,9.83,0,1
P10220,Electronics,Vertex,9.79,4.14,0,1
P10221,Fitness,Aster,53.27,20.28,0,1
P10222,Fitness,Solace,63.32,33.08,0,1
P10223,Apparel,Solace,28.62,13.33,0,1
P10224,Accessories,Lumen,6.22,3.21,0,1
P10225,Apparel,Meridian,34.68,19.23,0,1
P10226,Home,Lumen,24.54,10.34,0,1
P10227,Accessories,Vertex,17.46,6.39,0,1
P10228,Beauty,Aster,14.13,9.13,0,1
P10229,Apparel,Vertex,24.01,13.17,0,1
P10230,Beauty,Solace,37.06,15.66,0,1
P10231,Home,Lumen,11.41,6.95,0,1
P10232,Accessories,Solace,16.33,10.06,0,1
P10233,Fitness,Vertex,17.36,10.04,0,0
P10234,Home,Orion,36.88,22.99,0,1
P10235,Home,Nova,14.67,7.79,0,1
P10236,Beauty,Meridian,27.04,11.91,0,1
P10237,Beauty,Orion,18.24,6.64,0,1
P10238,Apparel,Nova,30.55,15.79,0,1
P10239,Electronics,Meridian,11.41,5.42,0,0
P10240,Electronics,Orion,7.87,4.2,0,1
P10241,Beauty,Nova,21.38,12.04,0,0
P10242,Home,Solace,19.38,11.45,0,1
P10243,Home,Meridian,20.44,12.85,0,1
P10244,Electronics,Lumen,16.57,11.51,0,1
P10245,Home,Aster,44.07,24.28,0,1
P10246,Beauty,Meridian,39.36,26.29,0,1
P10247,Accessories,Citrine,22.66,14.8,0,1
P10248,Home,Solace,15.91,5.7,0,1
P10249,Apparel,Citrine,22.38,10.07,0,1
P10250,Home,Citrine,46.32,19.73,0,1
P10251,Apparel,Lumen,8.95,5.07,0,1
P10252,Beauty,Solace,12.33,6.28,0,1
P10253,Accessories,Solace,44.91,18.74,0,1
P10254,Fitness,Orion,13.79,9.25,0,1
P10255,Beauty,Kairo,17.69,10.69,0,1
P10256,Beauty,Citrine,24.13,13.85,0,1
P10257,Fitness,Nova,30.24,16.13,0,1
P10258,Home,Vertex,68.19,34.34,0,1
P10259,Fitness,Orion,20.63,14.39,0,1
P10260,Fitness,Vertex,15.56,5.98,0,1
P10261,Electronics,Aster,15.72,10.84,0,1
P10262,Home,Meridian,22.71,13.69,0,1
P10263,Grocery,Citrine,5.26,2.49,0,1
P10264,Electronics,Nova,23.34,15.7,0,1
P10265,Beauty,Meridian,10.47,4.74,0,0
P10266,Apparel,Citrine,20.39,10.19,0,1
P10267,Beauty,Vertex,25.06,11.08,0,1
P10268,Electronics,Citrine,13.82,7.77,0,0
P10269,Apparel,Meridian,19.37,9.72,0,1
P10270,Beauty,Solace,9.27,4.67,0,1
P10271,Beauty,Meridian,28.22,19.65,0,1
P10272,Grocery,Orion,29.91,14.55,0,1
P10273,Beauty,Orion,26.52,13.11,0,1
P10274,Apparel,Lumen,16.28,7.23,0,1
P10275,Home,Solace,8.93,3.37,0,1
P10276,Fitness,Kairo,17.07,9.72,0,1
P10277,Beauty,Nova,25.91,12.95,0,1
P10278,Grocery,Nova,23.16,10.41,0,1
P10279,Grocery,Nova,10.86,6.05,0,1
P10280,Beauty,Lumen,29.5,17.92,0,1
P10281,Beauty,Kairo,23.78,14.27,0,1
P10282,Home,Orion,42.74,28.88,0,1
P10283,Electronics,Lumen,11.6,5.67,0,1
P10284,Accessories,Aster,9.25,5.27,0,1
P10285,Electronics,Aster,10.52,5.0,0,1
P10286,Electronics,Kairo,10.87,5.4,0,1
P10287,Beauty,Solace,30.66,12.23,0,1
P10288,Home,Vertex,10.92,4.56,0,1
P10289,Electronics,Solace,94.21,39.31,0,1
P10290,Accessories,Orion,21.55,10.25,0,1
P10291,Home,Vertex,25.29,9.38,0,1
P10292,Home,Vertex,22.85,15.33,0,1
P10293,Apparel,Aster,4.99,3.02,0,1
P10294,Home,Kairo,24.35,14.53,0,1
P10295,Fitness,Lumen,8.09,3.24,0,1
P10296,Beauty,Citrine,31.99,21.44,0,1
P10297,Fitness,Nova,5.2,2.68,0,1
P10298,Beauty,Meridian,18.45,11.55,0,1
P10299,Beauty,Solace,15.99,10.03,0,1
P10300,Apparel,Citrine,21.73,8.93,0,1
P10301,Home,Lumen,13.47,5.31,0,1
P10302,Beauty,Citrine,12.19,4.27,0,1
P10303,Electronics,Aster,8.48,4.54,0,1
P10304,Beauty,Vertex,35.5,13.88,0,1
P10305,Fitness,Solace,13.74,5.08,0,1
P10306,Home,Orion,31.14,18.01,0,1
P10307,Fitness,Vertex,23.27,10.77,0,1
P10308,Fitness,Solace,48.65,29.67,0,1
P10309,Home,Aster,13.63,7.81,0,1
P10310,Apparel,Solace,23.18,13.47,0,1
P10311,Beauty,Citrine,49.66,21.16,0,1
P10312,Accessories,Nova,19.72,7.1,0,1
P10313,Beauty,Nova,17.48,8.83,0,1
P10314,Beauty,Lumen,11.88,4.79,0,1
P10315,Electronics,Orion,8.23,5.76,0,1
P10316,Home,Citrine,24.62,12.88,0,1
P10317,Fitness,Lumen,27.12,17.43,0,1
P10318,Home,Aster,30.55,13.66,0,1
P10319,Home,Orion,41.02,24.67,0,1
P10320,Home,Meridian,62.18,22.15,0,1
P10321,Accessories,Aster,10.71,4.92,0,1
P10322,Beauty,Orion,39.49,18.4,0,1
P10323,Accessories,Aster,45.18,30.69,0,1
P10324,Fitness,Lumen,41.63,19.37,0,1
P10325,Apparel,Meridian,14.76,5.9,0,1
P10326,Grocery,Nova,10.41,4.76,0,1
P10327,Grocery,Orion,38.74,25.46,1,1
P10328,Apparel,Kairo,34.47,22.89,0,1
P10329,Home,Meridian,9.49,3.33,0,1
P10330,Grocery,Meridian,30.2,16.65,0,1
P10331,Grocery,Citrine,5.6,2.71,0,1
P10332,Home,Citrine,16.62,10.16,0,1
P10333,Home,Lumen,20.96,12.15,0,1
P10334,Electronics,Lumen,27.62,15.96,0,1
P10335,Home,Aster,24.61,14.3,0,1
P10336,Home,Meridian,13.26,5.58,0,1
P10337,Accessories,Kairo,31.67,18.45,0,1
P10338,Electronics,Lumen,26.23,12.22,0,1
P10339,Apparel,Aster,31.26,11.91,0,1
P10340,Fitness,Lumen,8.79,4.47,0,0
P10341,Electronics,Aster,5.78,2.78,0,1
P10342,Accessories,Meridian,58.11,34.3,0,1
P10343,Accessories,Vertex,11.29,5.03,0,1
P10344,Apparel,Kairo,17.08,8.69,0,1
P10345,Electronics,Meridian,34.0,20.78,0,1
P10346,Fitness,Citrine,19.54,12.07,0,1
P10347,Electronics,Vertex,33.76,21.29,0,1
P10348,Beauty,Solace,38.22,22.78,0,1
P10349,Fitness,Nova,7.1,4.71,0,1
P10350,Grocery,Nova,9.49,6.22,0,1
P10351,Accessories,Orion,16.71,6.21,0,1
P10352,Home,Aster,17.32,6.74,0,1
P10353,Electronics,Aster,18.13,9.1,0,1
P10354,Apparel,Nova,15.68,9.09,0,1
P10355,Grocery,Citrine,18.28,7.7,0,0
P10356,Electronics,Nova,23.78,13.93,0,1
P10357,Beauty,Meridian,20.3,11.86,0,1
P10358,Home,Citrine,18.12,9.57,0,1
P10359,Beauty,Lumen,17.97,12.49,0,1
P10360,Home,Meridian,12.59,8.54,0,1
P10361,Grocery,Nova,22.6,15.02,0,1
P10362,Home,Vertex,6.01,4.08,0,1
P10363,Grocery,Aster,10.92,5.53,0,1
P10364,Beauty,Orion,10.07,6.86,0,1
P10365,Electronics,Aster,25.56,12.7,0,1
P10366,Home,Kairo,40.91,23.78,0,1
P10367,Home,Lumen,18.86,11.86,0,1
P10368,Home,Aster,15.45,5.81,0,1
P10369,Grocery,Nova,22.82,13.85,0,1
P10370,Fitness,Orion,38.12,25.45,0,1
P10371,Home,Aster,27.37,17.64,0,1
P10372,Apparel,Orion,35.35,20.76,0,1
P10373,Grocery,Orion,4.99,2.5,0,1
P10374,Beauty,Aster,19.28,7.77,0,1
P10375,Apparel,Nova,10.63,3.91,0,1
P10376,Beauty,Orion,28.54,11.52,0,0
P10377,Apparel,Citrine,19.18,13.26,0,1
P10378,Electronics,Solace,14.5,7.28,0,1
P10379,Home,Solace,25.46,11.26,0,1
P10380,Home,Vertex,12.53,7.01,0,1
P10381,Apparel,Meridian,14.26,8.1,0,1
P10382,Apparel,Citrine,28.61,15.34,0,1
P10383,Grocery,Kairo,18.39,10.41,0,1
P10384,Beauty,Solace,6.79,2.59,0,1
P10385,Apparel,Aster,5.83,3.01,0,1
P10386,Fitness,Vertex,32.71,15.6,0,1
P10387,Accessories,Kairo,32.5,15.49,0,1
P10388,Beauty,Citrine,12.77,8.48,0,1
P10389,Apparel,Lumen,13.0,7.73,0,1
P10390,Beauty,Vertex,34.56,19.06,0,1
P10391,Accessories,Kairo,22.11,14.6,0,1
P10392,Apparel,Solace,33.09,15.36,0,1
P10393,Accessories,Solace,27.68,18.33,0,1
P10394,Grocery,Orion,11.97,5.72,0,1
P10395,Apparel,Lumen,9.15,5.61,0,1
P10396,Beauty,Orion,15.85,7.58,0,1
P10397,Grocery,Kairo,14.64,9.93,0,0
P10398,Accessories,Vertex,8.87,5.08,0,1
P10399,Apparel,Lumen,42.17,28.41,0,1
P10400,Grocery,Orion,20.64,8.75,0,1
P10401,Electronics,Orion,19.02,12.39,0,1
P10402,Grocery,Lumen,20.33,11.27,0,1
P10403,Apparel,Kairo,38.61,26.82,0,1
P10404,Beauty,Vertex,16.84,10.87,0,1
P10405,Electronics,Meridian,14.8,5.77,0,1
P10406,Accessories,Kairo,27.63,11.66,0,1
P10407,Electronics,Solace,46.21,18.3,0,1
P10408,Fitness,Aster,33.2,20.89,0,1
P10409,Home,Vertex,27.57,14.65,0,1
P10410,Apparel,Meridian,9.02,6.31,0,1
P10411,Beauty,Kairo,19.63,10.27,0,1
P10412,Fitness,Lumen,18.33,6.5,0,1
P10413,Beauty,Meridian,35.5,12.85,0,1
P10414,Home,Aster,12.2,6.61,0,1
P10415,Home,Nova,20.68,7.46,0,1
P10416,Grocery,Nova,19.07,11.64,0,1
P10417,Electronics,Lumen,31.52,11.36,0,1
P10418,Accessories,Orion,7.96,3.54,0,1
P10419,Electronics,Aster,29.63,19.28,0,1
P10420,Electronics,Citrine,30.68,16.74,0,1
P10421,Fitness,Aster,25.02,16.83,0,1
P10422,Beauty,Orion,7.92,3.69,0,1
P10423,Home,Solace,10.11,5.51,0,1
P10424,Apparel,Orion,37.45,19.17,0,1
P10425,Fitness,Lumen,12.89,6.25,0,1
P10426,Electronics,Meridian,24.45,9.18,0,1
P10427,Electronics,Nova,10.92,7.14,0,1
P10428,Beauty,Orion,29.42,15.79,0,1
P10429,Apparel,Meridian,11.57,7.55,0,1
P10430,Beauty,Orion,22.0,14.89,0,1
P10431,Grocery,Aster,17.97,7.43,0,1
P10432,Grocery,Kairo,9.87,3.52,0,1
P10433,Apparel,Nova,52.06,28.43,0,1
P10434,Grocery,Solace,29.79,14.47,0,1
P10435,Electronics,Citrine,19.26,7.8,0,1
P10436,Beauty,Nova,30.93,16.79,0,1
P10437,Grocery,Lumen,98.64,46.64,0,1
P10438,Apparel,Meridian,28.3,13.13,0,1
P10439,Beauty,Solace,17.62,7.67,0,1
P10440,Beauty,Aster,12.38,4.88,0,1
P10441,Electronics,Nova,19.63,12.66,0,1
P10442,Home,Meridian,18.07,9.89,0,1
P10443,Beauty,Orion,39.42,17.63,0,1
P10444,Apparel,Vertex,14.69,8.65,0,1
P10445,Apparel,Solace,18.42,7.23,0,1
P10446,Apparel,Nova,14.18,8.11,0,0
P10447,Grocery,Vertex,20.73,12.47,0,1
P10448,Beauty,Kairo,8.7,5.37,0,1
P10449,Apparel,Lumen,14.23,9.85,0,1
