kb_id,topic,title,body,title_norm,body_norm,doc_text
1,data_export,Data exports and reports: Csv Export Missing Rows,"Summary: This article helps resolve 'CSV export missing rows' for data exports and reports.
Steps:
1) Verify prerequisites.
2) Reproduce the issue and capture logs.
3) Apply the fix for 'CSV export missing rows'.
4) Confirm resolution and document outcome.
Notes: If the issue persists, escalate with timestamps and environment details.",data exports and reports: csv export missing rows,summary: this article helps resolve csv export missing rows for data exports and reports. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for csv export missing rows . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.,data exports and reports: csv export missing rows summary: this article helps resolve csv export missing rows for data exports and reports. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for csv export missing rows . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.
2,password_reset,Password reset and account recovery: 2Fa Code Not Arriving,"Summary: This article helps resolve '2FA code not arriving' for password reset and account recovery.
Steps:
1) Verify prerequisites.
2) Reproduce the issue and capture logs.
3) Apply the fix for '2FA code not arriving'.
4) Confirm resolution and document outcome.
Notes: If the issue persists, escalate with timestamps and environment details.",password reset and account recovery: 2fa code not arriving,summary: this article helps resolve 2fa code not arriving for password reset and account recovery. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for 2fa code not arriving . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.,password reset and account recovery: 2fa code not arriving summary: this article helps resolve 2fa code not arriving for password reset and account recovery. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for 2fa code not arriving . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.
3,billing_refund,"Billing, invoices and refunds: Refund Status","Summary: This article helps resolve 'refund status' for billing, invoices and refunds.
Steps:
1) Verify prerequisites.
2) Reproduce the issue and capture logs.
3) Apply the fix for 'refund status'.
4) Confirm resolution and document outcome.
Notes: If the issue persists, escalate with timestamps and environment details.",billing invoices and refunds: refund status,summary: this article helps resolve refund status for billing invoices and refunds. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for refund status . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.,billing invoices and refunds: refund status summary: this article helps resolve refund status for billing invoices and refunds. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for refund status . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.
4,billing_refund,"Billing, invoices and refunds: Duplicate Charge","Summary: This article helps resolve 'duplicate charge' for billing, invoices and refunds.
Steps:
1) Verify prerequisites.
2) Reproduce the issue and capture logs.
3) Apply the fix for 'duplicate charge'.
4) Confirm resolution and document outcome.
Notes: If the issue persists, escalate with timestamps and environment details.",billing invoices and refunds: duplicate charge,summary: this article helps resolve duplicate charge for billing invoices and refunds. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for duplicate charge . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.,billing invoices and refunds: duplicate charge summary: this article helps resolve duplicate charge for billing invoices and refunds. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for duplicate charge . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.
5,data_export,Data exports and reports: Columns Incorrect,"Summary: This article helps resolve 'columns incorrect' for data exports and reports.
Steps:
1) Verify prerequisites.
2) Reproduce the issue and capture logs.
3) Apply the fix for 'columns incorrect'.
4) Confirm resolution and document outcome.
Notes: If the issue persists, escalate with timestamps and environment details.",data exports and reports: columns incorrect,summary: this article helps resolve columns incorrect for data exports and reports. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for columns incorrect . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.,data exports and reports: columns incorrect summary: this article helps resolve columns incorrect for data exports and reports. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for columns incorrect . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.
6,password_reset,Password reset and account recovery: Locked Out,"Summary: This article helps resolve 'locked out' for password reset and account recovery.
Steps:
1) Verify prerequisites.
2) Reproduce the issue and capture logs.
3) Apply the fix for 'locked out'.
4) Confirm resolution and document outcome.
Notes: If the issue persists, escalate with timestamps and environment details.",password reset and account recovery: locked out,summary: this article helps resolve locked out for password reset and account recovery. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for locked out . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.,password reset and account recovery: locked out summary: this article helps resolve locked out for password reset and account recovery. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for locked out . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.
7,mobile_crash,Mobile app crashes and performance: Crashes On Launch,"Summary: This article helps resolve 'crashes on launch' for mobile app crashes and performance.
Steps:
1) Verify prerequisites.
2) Reproduce the issue and capture logs.
3) Apply the fix for 'crashes on launch'.
4) Confirm resolution and document outcome.
Notes: If the issue persists, escalate with timestamps and environment details.",mobile app crashes and performance: crashes on launch,summary: this article helps resolve crashes on launch for mobile app crashes and performance. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for crashes on launch . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.,mobile app crashes and performance: crashes on launch summary: this article helps resolve crashes on launch for mobile app crashes and performance. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for crashes on launch . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.
8,password_reset,Password reset and account recovery: Reset Link Expired,"Summary: This article helps resolve 'reset link expired' for password reset and account recovery.
Steps:
1) Verify prerequisites.
2) Reproduce the issue and capture logs.
3) Apply the fix for 'reset link expired'.
4) Confirm resolution and document outcome.
Notes: If the issue persists, escalate with timestamps and environment details.",password reset and account recovery: reset link expired,summary: this article helps resolve reset link expired for password reset and account recovery. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for reset link expired . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.,password reset and account recovery: reset link expired summary: this article helps resolve reset link expired for password reset and account recovery. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for reset link expired . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.
10,sso_setup,Single sign-on (SSO) setup: Redirect Loop,"Summary: This article helps resolve 'redirect loop' for single sign-on (sso) setup.
Steps:
1) Verify prerequisites.
2) Reproduce the issue and capture logs.
3) Apply the fix for 'redirect loop'.
4) Confirm resolution and document outcome.
Notes: If the issue persists, escalate with timestamps and environment details.",single sign-on sso setup: redirect loop,summary: this article helps resolve redirect loop for single sign-on sso setup. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for redirect loop . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.,single sign-on sso setup: redirect loop summary: this article helps resolve redirect loop for single sign-on sso setup. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for redirect loop . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.
12,billing_refund,"Billing, invoices and refunds: Update Card","Summary: This article helps resolve 'update card' for billing, invoices and refunds.
Steps:
1) Verify prerequisites.
2) Reproduce the issue and capture logs.
3) Apply the fix for 'update card'.
4) Confirm resolution and document outcome.
Notes: If the issue persists, escalate with timestamps and environment details.",billing invoices and refunds: update card,summary: this article helps resolve update card for billing invoices and refunds. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for update card . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.,billing invoices and refunds: update card summary: this article helps resolve update card for billing invoices and refunds. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for update card . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.
13,mobile_crash,Mobile app crashes and performance: Blank Screen,"Summary: This article helps resolve 'blank screen' for mobile app crashes and performance.
Steps:
1) Verify prerequisites.
2) Reproduce the issue and capture logs.
3) Apply the fix for 'blank screen'.
4) Confirm resolution and document outcome.
Notes: If the issue persists, escalate with timestamps and environment details.",mobile app crashes and performance: blank screen,summary: this article helps resolve blank screen for mobile app crashes and performance. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for blank screen . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.,mobile app crashes and performance: blank screen summary: this article helps resolve blank screen for mobile app crashes and performance. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for blank screen . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.
14,mobile_crash,Mobile app crashes and performance: Battery Drain,"Summary: This article helps resolve 'battery drain' for mobile app crashes and performance.
Steps:
1) Verify prerequisites.
2) Reproduce the issue and capture logs.
3) Apply the fix for 'battery drain'.
4) Confirm resolution and document outcome.
Notes: If the issue persists, escalate with timestamps and environment details.",mobile app crashes and performance: battery drain,summary: this article helps resolve battery drain for mobile app crashes and performance. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for battery drain . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.,mobile app crashes and performance: battery drain summary: this article helps resolve battery drain for mobile app crashes and performance. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for battery drain . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.
15,vpn_connect,VPN connection troubleshooting: Disconnects Frequently,"Summary: This article helps resolve 'disconnects frequently' for vpn connection troubleshooting.
Steps:
1) Verify prerequisites.
2) Reproduce the issue and capture logs.
3) Apply the fix for 'disconnects frequently'.
4) Confirm resolution and document outcome.
Notes: If the issue persists, escalate with timestamps and environment details.",vpn connection troubleshooting: disconnects frequently,summary: this article helps resolve disconnects frequently for vpn connection troubleshooting. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for disconnects frequently . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.,vpn connection troubleshooting: disconnects frequently summary: this article helps resolve disconnects frequently for vpn connection troubleshooting. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for disconnects frequently . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.
16,billing_refund,"Billing, invoices and refunds: Payment Failed","Summary: This article helps resolve 'payment failed' for billing, invoices and refunds.
Steps:
1) Verify prerequisites.
2) Reproduce the issue and capture logs.
3) Apply the fix for 'payment failed'.
4) Confirm resolution and document outcome.
Notes: If the issue persists, escalate with timestamps and environment details.",billing invoices and refunds: payment failed,summary: this article helps resolve payment failed for billing invoices and refunds. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for payment failed . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.,billing invoices and refunds: payment failed summary: this article helps resolve payment failed for billing invoices and refunds. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for payment failed . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.
17,vpn_connect,VPN connection troubleshooting: Split Tunneling,"Summary: This article helps resolve 'split tunneling' for vpn connection troubleshooting.
Steps:
1) Verify prerequisites.
2) Reproduce the issue and capture logs.
3) Apply the fix for 'split tunneling'.
4) Confirm resolution and document outcome.
Notes: If the issue persists, escalate with timestamps and environment details.",vpn connection troubleshooting: split tunneling,summary: this article helps resolve split tunneling for vpn connection troubleshooting. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for split tunneling . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.,vpn connection troubleshooting: split tunneling summary: this article helps resolve split tunneling for vpn connection troubleshooting. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for split tunneling . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.
20,password_reset,Password reset and account recovery: Password Rules,"Summary: This article helps resolve 'password rules' for password reset and account recovery.
Steps:
1) Verify prerequisites.
2) Reproduce the issue and capture logs.
3) Apply the fix for 'password rules'.
4) Confirm resolution and document outcome.
Notes: If the issue persists, escalate with timestamps and environment details.",password reset and account recovery: password rules,summary: this article helps resolve password rules for password reset and account recovery. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for password rules . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.,password reset and account recovery: password rules summary: this article helps resolve password rules for password reset and account recovery. steps: 1 verify prerequisites. 2 reproduce the issue and capture logs. 3 apply the fix for password rules . 4 confirm resolution and document outcome. notes: if the issue persists escalate with timestamps and environment details.
